Title;Link;Image;Price;Stars;Amount
"LG 49LH604V TV#:49 Zoll";http://estoremedia.space/DataIT/product.php?id=2006622791;https://images-na.ssl-images-amazon.com/images/I/61s4XzZa00L._SL1010_.jpg;$391,99;3;"2                              "
"LG 49UM7100PLB 49 Inch UHD 4K HDR Smart LED TV with Freeview Play - Ceramic Black (2019 Model) Amazon exclusive#:49 Inch 2019 Model Single";http://estoremedia.space/DataIT/product.php?id=2006623401;https://m.media-amazon.com/images/I/811hhwXpGSL._AC_UY218_ML3_.jpg;$361,48;4;"926                              "
"LG 65UH770V 65 inch Super Ultra HD 4K Smart TV webOS (2016 Model) - Silver#:65 inch";http://estoremedia.space/DataIT/product.php?id=2006623402;https://images-na.ssl-images-amazon.com/images/I/41YR-7vimeL._SX450_.jpg;$1675,18;4;"82                              "
"LG 55UK6200PLA 55-Inch 4K UHD HDR Smart LED TV with Freeview Play (2018 Model) - Black#:55 Inch";http://estoremedia.space/DataIT/product.php?id=2006623403;https://m.media-amazon.com/images/I/816EZ53GfQL._AC_UY218_ML3_.jpg;$681,15;4;"182                              "
"LG 49UH750V 49 inch Ultra HD 4K Smart TV webOS (2016 Model) - Grey#:49 inch";http://estoremedia.space/DataIT/product.php?id=2006623404;https://images-na.ssl-images-amazon.com/images/I/514n%2BA7Xr7L._SX355_.jpg;$804,94;3;"25                              "
"TV LED LG 43UM7390PLC - 43&quot;/109CM - 4K UHD 3840X2160 IPS - 1600HZ PMI - HDR 10 PRO/HLG - DVB-T2/C/S2 - SMART TV - 3*HDMI - 2*USB - AUDIO 20W                                           [Energy Class A+]";http://estoremedia.space/DataIT/product.php?id=2006623405;https://m.media-amazon.com/images/I/81I0oigENeL._AC_UY218_ML3_.jpg;$482,42;1;"1                              "
"LG 55UH770V 55 inch Super Ultra HD 4K Smart TV webOS (2016 Model) - Silver#:55 inch";http://estoremedia.space/DataIT/product.php?id=2006623406;https://images-na.ssl-images-amazon.com/images/I/41YR-7vimeL._SX450_.jpg;$999,99;4;"82                              "
"LG 49UM7100PLB 49 Inch UHD 4K HDR Smart LED TV with Amazon Basic HDMI cable#:49 Inch 2019 Model TV + HDMI 2.0 Cable";http://estoremedia.space/DataIT/product.php?id=2006623407;https://m.media-amazon.com/images/I/6107Jy+fE9L._AC_UY218_ML3_.jpg;$349,00;4;"926                              "
"LG 49UM7100PLB 49-Inch UHD 4K HDR Smart LED TV withEcho Dot (3rd Gen)#:49 Inch 2019 Model with Echo Dot Single";http://estoremedia.space/DataIT/product.php?id=2006623408;https://images-na.ssl-images-amazon.com/images/I/51z62TntZnL._SL1000_.jpg;$411,47;4;"930                              "
"LG 65SM8500PLA 65-Inch UHD 4K HDR Smart NanoCell LED TV with Echo Dot (3rd Gen)#:65 Inch 2019 Model with Echo Dot";http://estoremedia.space/DataIT/product.php?id=2006623409;https://m.media-amazon.com/images/I/61PdpGR7QsL._AC_UY218_ML3_.jpg;$984,79;4;"184                              "
"LG 55SM8500PLA 55-Inch UHD 4K HDR Smart NanoCell LED TV with Echo Dot (3rd Gen)#:55 Inch 2019 Model with Echo Dot";http://estoremedia.space/DataIT/product.php?id=2006623410;https://m.media-amazon.com/images/I/61PdpGR7QsL._AC_UY218_ML3_.jpg;$728,99;4;"206                              "
"LG 75UK6500PLA 75-Inch UHD 4K HDR Smart LED TV with Freeview Play - Steel Silver/Black (2018 Model) with LG SK5 Soundbar#:75 Inch TV with Soundbar";http://estoremedia.space/DataIT/product.php?id=2006623411;https://images-na.ssl-images-amazon.com/images/I/51-1GnErdVL._AC_SL1001_.jpg;$2030,26;4;"237                              "
"LG 65UK6500PLA 65-Inch UHD 4K HDR Smart LED TV with Freeview Play - Steel Silver/Black (2018 Model) with LG SK5 Soundbar#:65 Inch TV with Soundbar";http://estoremedia.space/DataIT/product.php?id=2006623412;https://images-na.ssl-images-amazon.com/images/I/51L1NGm8zdL._AC_SL1001_.jpg;$1055,87;4;"237                              "
"LG 65SK8000PLB 65-Inch Super UHD 4K HDR Premium Smart LED TV with Freeview Play and LG SK5 Soundbar#:65 Inch TV with SK5 Soundbar";http://estoremedia.space/DataIT/product.php?id=2006623413;https://images-na.ssl-images-amazon.com/images/I/31FqhugSlTL._AC_SY355_.jpg;$1228,24;4;"180                              "
"LG 65UK6300PLB 65-Inch UHD 4K HDR Smart LED TV with Freeview Play - Black (2018 Model) with LG SK1 Soundbar";http://estoremedia.space/DataIT/product.php?id=2006623414;https://m.media-amazon.com/images/I/51Hm4nf3zaL._AC_UY218_ML3_.jpg;$1051,57;0;"0                              "
Title;Link;Image;Price;Stars;Amount
"LG 49UM7100PLB 49 Inch UHD 4K HDR Smart LED TV with Freeview Play - Ceramic Black (2019 Model) and LG SL5Y Wireless Soundbar";http://estoremedia.space/DataIT/product.php?id=2006623415;https://m.media-amazon.com/images/I/4131o74bcrL._AC_UY218_ML3_.jpg;$560,48;0;"0                              "
